node_label;node_id;PPCounter;log10(PP*)
156;147;37;-5.805131070185083
93;21;37;-3.3311884544452526
124;85;37;-5.062166242183959
125;86;37;-3.1707992261308213
95;25;37;-3.45335603322565
126;89;37;-5.166203480852085
127;90;37;-3.335749174961926
98;30;37;-4.550965794788054
130;96;37;-3.908162746432168
100;34;37;-4.685811958274044
132;100;37;-3.956429935140972
102;39;37;-3.827430666197742
104;43;37;-4.300103958795858
138;112;37;-4.21802424972803
107;50;37;-3.09482301194297
140;116;37;-4.46881460315287
109;54;37;-3.0923235890046237
112;59;37;-3.152721776171801
114;63;37;-3.1803743564033953
82;1;38;-3.446596508413184
83;2;38;-3.3415880319928277
84;3;38;-3.2032091373787472
117;68;38;-5.386512684938068
85;6;38;-3.6348746971035664
86;7;38;-3.2958163345410614
119;72;38;-5.343992219092159
87;11;38;-3.7342182453967987
88;12;38;-3.3579071352340786
121;77;38;-4.801935716580482
89;15;38;-4.43491440125394
90;16;38;-3.603475279402514
123;81;38;-4.89824976998283
93;21;38;-4.536162789533926
125;86;38;-3.8626287797823387
95;25;38;-4.652906612047371
127;90;38;-3.9313704949933843
98;30;38;-5.610177876711193
130;96;38;-4.731687671766602
100;34;38;-5.531581702900754
132;100;38;-4.822894900661627
102;39;38;-5.220112468047401
104;43;38;-5.929864800128527
138;112;38;-4.764866811386511
107;50;38;-4.092614412441452
140;116;38;-5.037411107962639
109;54;38;-4.106477663049043
112;59;38;-4.2839721421727
114;63;38;-4.313989049329361
82;1;39;-3.295860447260261
83;2;39;-3.4151216268360485
84;3;39;-3.3423410020644693
117;68;39;-5.136277655570809
85;6;39;-3.633368399929815
86;7;39;-3.209768659916656
119;72;39;-5.277309718828848
87;11;39;-3.3400993332761737
88;12;39;-3.112891462516158
120;76;39;-5.424017789777641
121;77;39;-3.9587488262743653
89;15;39;-3.67600962227613
154;143;39;-5.703292360071585
90;16;39;-3.1306144477034468
122;80;39;-5.628675060799558
123;81;39;-4.018239637748847
156;147;39;-5.691155869757928
91;19;39;-5.202040989101913
92;20;39;-5.149713993863562
93;21;39;-4.00965953638713
124;85;39;-5.168727238902086
125;86;39;-3.211424420049275
94;24;39;-5.277389698629738
95;25;39;-4.147779432332784
126;89;39;-4.7330872990316175
127;90;39;-3.3176485384720698
98;30;39;-5.138736329563081
130;96;39;-3.8453423179139437
100;34;39;-5.129154987410753
132;100;39;-3.88784684277096
101;38;39;-5.356954545653564
102;39;39;-4.1412467062185465
103;42;39;-5.4614451451624735
104;43;39;-4.298939446918983
138;112;39;-4.284275393666638
106;49;39;-5.295233884055367
107;50;39;-3.3809619233243153
140;116;39;-4.771542220830648
108;53;39;-5.58539378955229
109;54;39;-3.4009093330249804
112;59;39;-3.6494403960610553
114;63;39;-3.7316175778553915
82;1;40;-2.185727215240856
83;2;40;-2.57217522928156
84;3;40;-2.6753422080085505
